run_id,timestamp,device_id,temp_c,vibration_g,current_a,rpm,label
R0001,2026-03-02T06:07:00,uno-q-02,45.06,0.454,2.059,2906,ok
R0002,2026-03-02T06:14:00,uno-q-03,44.81,0.414,1.95,3043,ok
R0003,2026-03-02T06:21:00,rpi5-01,45.08,0.304,1.998,2990,ok
R0004,2026-03-02T06:28:00,uno-q-01,51.68,0.508,1.829,2926,ok
R0005,2026-03-02T06:35:00,uno-q-02,54.17,0.394,1.685,2853,ok
R0006,2026-03-02T06:42:00,uno-q-03,48.23,0.433,1.778,2944,ok
R0007,2026-03-02T06:49:00,rpi5-01,48.66,0.482,2.08,2967,ok
R0008,2026-03-02T06:56:00,uno-q-01,43.7,0.483,1.552,2935,ok
R0009,2026-03-02T07:03:00,uno-q-02,44.46,0.42,1.687,2968,ok
R0010,2026-03-02T07:10:00,uno-q-03,55.92,0.416,2.027,2837,ok
R0011,2026-03-02T07:17:00,rpi5-01,47.31,0.48,1.831,2981,ok
R0012,2026-03-02T07:24:00,uno-q-01,48.25,0.329,1.968,2880,ok
R0013,2026-03-02T07:31:00,uno-q-02,52.49,0.375,1.994,2950,ok
R0014,2026-03-02T07:38:00,uno-q-03,50.29,0.366,2.06,2939,ok
R0015,2026-03-02T07:45:00,rpi5-01,51.03,0.476,1.88,2883,ok
R0016,2026-03-02T07:52:00,uno-q-01,49.84,0.462,2.195,2917,ok
R0017,2026-03-02T07:59:00,uno-q-02,49.33,0.466,1.909,2967,ok
R0018,2026-03-02T08:06:00,uno-q-03,48.44,0.366,1.637,2916,ok
R0019,2026-03-02T08:13:00,rpi5-01,49.42,0.556,2.055,3039,ok
R0020,2026-03-02T08:20:00,uno-q-01,49.87,0.483,1.889,3015,ok
R0021,2026-03-02T08:27:00,uno-q-02,52.26,0.391,1.704,3116,ok
R0022,2026-03-02T08:34:00,uno-q-03,48.59,0.507,2.034,2853,ok
R0023,2026-03-02T08:41:00,rpi5-01,53.84,0.58,1.887,3013,ok
R0024,2026-03-02T08:48:00,uno-q-01,48.3,0.34,1.826,2981,ok
R0025,2026-03-02T08:55:00,uno-q-02,50.68,0.484,1.862,3065,ok
R0026,2026-03-02T09:02:00,uno-q-03,46.17,0.491,2.084,2925,ok
R0027,2026-03-02T09:09:00,rpi5-01,43.7,0.338,1.9,2994,ok
R0028,2026-03-02T09:16:00,uno-q-01,51.72,0.33,1.85,3005,ok
R0029,2026-03-02T09:23:00,uno-q-02,47.62,0.207,2.019,3146,ok
R0030,2026-03-02T09:30:00,uno-q-03,50.41,0.337,1.763,2968,ok
R0031,2026-03-02T09:37:00,rpi5-01,53.97,0.476,1.874,3082,ok
R0032,2026-03-02T09:44:00,uno-q-01,47.8,0.588,1.706,2909,ok
R0033,2026-03-02T09:51:00,uno-q-02,49.73,0.548,1.987,2975,ok
R0034,2026-03-02T09:58:00,uno-q-03,43.63,0.356,1.722,2904,ok
R0035,2026-03-02T10:05:00,rpi5-01,49.41,0.39,2.015,2956,ok
R0036,2026-03-02T10:12:00,uno-q-01,47.2,0.431,1.94,3022,ok
R0037,2026-03-02T10:19:00,uno-q-02,60.85,1.299,2.364,2486,fault
R0038,2026-03-02T10:26:00,uno-q-03,51.48,0.404,1.75,2844,ok
R0039,2026-03-02T10:33:00,rpi5-01,48.41,0.439,2.308,2970,ok
